Absorbance:209, 
188.96, 0
189.424, 0
189.887, 0
190.351, -0.25
190.815, 0
191.279, -1.26
191.742, 0
192.206, 0
192.669, 0
193.133, -0.67
193.596, 0.13
194.06, -0.46
194.523, 0
194.987, -0.27
195.45, 1.31
195.913, 0
196.376, 0.21
196.84, 0
197.303, -0.87
197.766, 0
198.229, -0.56
198.692, 0.08
199.155, 0.1
199.618, 0.08
200.081, 0.06
200.543, 0.02
201.006, 0.05
201.469, 0.02
201.932, 0.06
202.394, 0.01
202.857, 0.08
203.32, 0.01
203.782, 0.03
204.245, 0.08
204.707, 0.04
205.169, 0.04
205.632, 0.09
206.094, 0.06
206.556, 0.07
207.019, 0.05
207.481, 0.07
207.943, 0.09
208.405, 0.07
208.867, 0.12
209.329, 0.06
209.791, 0.13
210.253, 0.12
210.715, 0.16
211.177, 0.17
211.639, 0.15
212.1, 0.2
212.562, 0.24
213.024, 0.24
213.485, 0.32
213.947, 0.36
214.408, 0.41
214.87, 0.47
215.331, 0.55
215.793, 0.6
216.254, 0.68
216.715, 0.71
217.177, 0.78
217.638, 0.85
218.099, 0.96
218.56, 0.99
219.021, 1.11
219.482, 1.16
219.944, 1.18
220.404, 1.24
220.865, 1.34
221.326, 1.37
221.787, 1.39
222.248, 1.5
222.709, 1.55
223.169, 1.54
223.63, 1.58
224.091, 1.65
224.551, 1.65
225.012, 1.69
225.472, 1.7
225.933, 1.67
226.393, 1.72
226.854, 1.7
227.314, 1.72
227.774, 1.71
228.234, 1.75
228.695, 1.74
229.155, 1.73
229.615, 1.76
230.075, 1.73
230.535, 1.71
230.995, 1.75
231.455, 1.73
231.915, 1.77
232.375, 1.74
232.834, 1.73
233.294, 1.76
233.754, 1.75
234.214, 1.77
234.673, 1.76
235.133, 1.78
235.592, 1.75
236.052, 1.74
236.511, 1.74
236.971, 1.77
237.43, 1.82
237.889, 1.76
238.349, 1.77
238.808, 1.79
239.267, 1.78
239.726, 1.8
240.185, 1.74
240.644, 1.75
241.103, 1.75
241.562, 1.76
242.021, 1.79
242.48, 1.74
242.939, 1.76
243.398, 1.79
243.857, 1.83
244.315, 1.79
244.774, 1.83
245.233, 1.79
245.691, 1.81
246.15, 1.78
246.608, 1.91
247.067, 1.84
247.525, 1.81
247.983, 1.76
248.442, 1.77
248.9, 1.81
249.358, 1.78
249.816, 1.8
250.274, 1.84
250.733, 1.8
251.191, 1.82
251.649, 1.83
252.107, 1.79
252.564, 1.73
253.022, 1.8
253.48, 1.77
253.938, 1.81
254.396, 1.76
254.853, 1.78
255.311, 1.72
255.769, 1.7
256.226, 1.64
256.684, 1.63
257.141, 1.59
257.599, 1.59
258.056, 1.5
258.513, 1.47
258.971, 1.46
259.428, 1.44
259.885, 1.4
260.342, 1.36
260.799, 1.31
261.256, 1.28
261.714, 1.29
262.171, 1.25
262.627, 1.24
263.084, 1.22
263.541, 1.21
263.998, 1.2
264.455, 1.18
264.912, 1.19
265.368, 1.18
265.825, 1.2
266.281, 1.2
266.738, 1.21
267.194, 1.22
267.651, 1.21
268.107, 1.23
268.564, 1.23
269.02, 1.25
269.476, 1.25
269.933, 1.26
270.389, 1.27
270.845, 1.27
271.301, 1.29
271.757, 1.3
272.213, 1.31
272.669, 1.33
273.125, 1.33
273.581, 1.36
274.037, 1.35
274.492, 1.37
274.948, 1.35
275.404, 1.34
275.86, 1.36
276.315, 1.38
276.771, 1.38
277.226, 1.37
277.682, 1.38
278.137, 1.36
278.593, 1.37
279.048, 1.36
279.503, 1.35
279.958, 1.35
280.414, 1.37
280.869, 1.35
281.324, 1.33
281.779, 1.36
282.234, 1.37
282.689, 1.34
283.144, 1.34
283.599, 1.33
284.054, 1.33
284.508, 1.32
284.963, 1.31
285.418, 1.3
285.873, 1.28
286.327, 1.27
286.782, 1.3
287.236, 1.27
287.691, 1.26
288.145, 1.25
288.6, 1.24
289.054, 1.26
289.508, 1.25
289.963, 1.23
290.417, 1.22
290.871, 1.23
291.325, 1.22
291.779, 1.22
292.233, 1.2
292.687, 1.23
293.141, 1.2
293.595, 1.22
294.049, 1.21
294.503, 1.21
294.957, 1.2
295.41, 1.2
295.864, 1.2
296.318, 1.18
296.771, 1.18
297.225, 1.17
297.678, 1.16
298.132, 1.15
298.585, 1.14
299.039, 1.14
299.492, 1.1
299.945, 1.09
300.398, 1.06
300.852, 1.06
301.305, 1.03
301.758, 0.99
302.211, 0.97
302.664, 0.94
303.117, 0.92
303.57, 0.9
304.023, 0.88
304.476, 0.85
304.928, 0.82
305.381, 0.8
305.834, 0.76
306.286, 0.75
306.739, 0.72
307.192, 0.7
307.644, 0.67
308.097, 0.65
308.549, 0.63
309.001, 0.61
309.454, 0.6
309.906, 0.58
310.358, 0.55
310.81, 0.54
311.263, 0.53
311.715, 0.51
312.167, 0.5
312.619, 0.48
313.071, 0.48
313.523, 0.47
313.975, 0.46
314.426, 0.45
314.878, 0.45
315.33, 0.44
315.782, 0.46
316.233, 0.46
316.685, 0.46
317.136, 0.47
317.588, 0.46
318.039, 0.44
318.491, 0.39
318.942, 0.36
319.393, 0.34
319.845, 0.33
320.296, 0.33
320.747, 0.33
321.198, 0.34
321.649, 0.34
322.101, 0.37
322.552, 0.37
323.003, 0.39
323.453, 0.4
323.904, 0.42
324.355, 0.42
324.806, 0.43
325.257, 0.43
325.707, 0.44
326.158, 0.45
326.609, 0.46
327.059, 0.46
327.51, 0.49
327.96, 0.48
328.411, 0.49
328.861, 0.5
329.311, 0.52
329.762, 0.52
330.212, 0.53
330.662, 0.55
331.112, 0.55
331.562, 0.56
332.012, 0.55
332.462, 0.58
332.912, 0.57
333.362, 0.58
333.812, 0.59
334.262, 0.6
334.712, 0.59
335.161, 0.61
335.611, 0.6
336.061, 0.61
336.51, 0.61
336.96, 0.62
337.409, 0.63
337.859, 0.63
338.308, 0.64
338.758, 0.65
339.207, 0.66
339.656, 0.66
340.105, 0.68
340.555, 0.68
341.004, 0.7
341.453, 0.72
341.902, 0.74
342.351, 0.76
342.8, 0.77
343.249, 0.79
343.698, 0.8
344.146, 0.82
344.595, 0.84
345.044, 0.87
345.493, 0.87
345.941, 0.88
346.39, 0.9
346.838, 0.93
347.287, 0.93
347.735, 0.94
348.184, 0.94
348.632, 0.95
349.08, 0.94
349.529, 0.94
349.977, 0.91
350.425, 0.93
350.873, 0.91
351.321, 0.9
351.769, 0.88
352.217, 0.85
352.665, 0.83
353.113, 0.81
353.561, 0.79
354.009, 0.76
354.456, 0.74
354.904, 0.72
355.352, 0.69
355.799, 0.67
356.247, 0.64
356.694, 0.61
357.142, 0.59
357.589, 0.57
358.037, 0.55
358.484, 0.52
358.931, 0.51
359.379, 0.49
359.826, 0.47
360.273, 0.45
360.72, 0.44
