Absorbance:209, 
188.96, 1.04
189.424, 1.04
189.887, 1.04
190.351, 0
190.815, 0
191.279, -1.12
191.742, -0.15
192.206, 1.75
192.669, -0.45
193.133, -0.53
193.596, 0.2
194.06, -0.22
194.523, 1.04
194.987, 0.13
195.45, 0.08
195.913, 0
196.376, 0
196.84, -1.01
197.303, 0.02
197.766, 0.39
198.229, 0
198.692, 0.04
199.155, 0
199.618, -0.01
200.081, 0.04
200.543, -0.02
201.006, 0.04
201.469, 0.02
201.932, 0.03
202.394, -0.02
202.857, 0.02
203.32, 0
203.782, -0.01
204.245, 0.01
204.707, 0.02
205.169, -0.01
205.632, 0.05
206.094, 0.02
206.556, 0
207.019, 0.03
207.481, 0.03
207.943, 0.06
208.405, 0.07
208.867, 0.07
209.329, 0.06
209.791, 0.08
210.253, 0.1
210.715, 0.11
211.177, 0.14
211.639, 0.14
212.1, 0.2
212.562, 0.21
213.024, 0.22
213.485, 0.27
213.947, 0.33
214.408, 0.38
214.87, 0.39
215.331, 0.51
215.793, 0.53
216.254, 0.57
216.715, 0.65
217.177, 0.71
217.638, 0.81
218.099, 0.89
218.56, 0.98
219.021, 1.04
219.482, 1.06
219.944, 1.12
220.404, 1.23
220.865, 1.27
221.326, 1.32
221.787, 1.38
222.248, 1.44
222.709, 1.46
223.169, 1.49
223.63, 1.51
224.091, 1.61
224.551, 1.56
225.012, 1.58
225.472, 1.63
225.933, 1.63
226.393, 1.61
226.854, 1.58
227.314, 1.59
227.774, 1.56
228.234, 1.55
228.695, 1.5
229.155, 1.45
229.615, 1.42
230.075, 1.35
230.535, 1.28
230.995, 1.23
231.455, 1.17
231.915, 1.11
232.375, 1.05
232.834, 1
233.294, 0.92
233.754, 0.88
234.214, 0.83
234.673, 0.78
235.133, 0.73
235.592, 0.69
236.052, 0.66
236.511, 0.63
236.971, 0.6
237.43, 0.56
237.889, 0.55
238.349, 0.52
238.808, 0.51
239.267, 0.5
239.726, 0.49
240.185, 0.48
240.644, 0.47
241.103, 0.47
241.562, 0.47
242.021, 0.47
242.48, 0.47
242.939, 0.46
243.398, 0.47
243.857, 0.48
244.315, 0.48
244.774, 0.49
245.233, 0.49
245.691, 0.5
246.15, 0.52
246.608, 0.52
247.067, 0.53
247.525, 0.53
247.983, 0.54
248.442, 0.55
248.9, 0.55
249.358, 0.56
249.816, 0.58
250.274, 0.57
250.733, 0.57
251.191, 0.59
251.649, 0.6
252.107, 0.61
252.564, 0.63
253.022, 0.64
253.48, 0.65
253.938, 0.66
254.396, 0.67
254.853, 0.69
255.311, 0.69
255.769, 0.72
256.226, 0.73
256.684, 0.75
257.141, 0.77
257.599, 0.79
258.056, 0.8
258.513, 0.81
258.971, 0.83
259.428, 0.83
259.885, 0.85
260.342, 0.85
260.799, 0.86
261.256, 0.85
261.714, 0.85
262.171, 0.83
262.627, 0.82
263.084, 0.81
263.541, 0.79
263.998, 0.76
264.455, 0.75
264.912, 0.72
265.368, 0.7
265.825, 0.66
266.281, 0.64
266.738, 0.62
267.194, 0.6
267.651, 0.57
268.107, 0.55
268.564, 0.53
269.02, 0.52
269.476, 0.51
269.933, 0.49
270.389, 0.48
270.845, 0.48
271.301, 0.47
271.757, 0.46
272.213, 0.46
272.669, 0.46
273.125, 0.46
273.581, 0.47
274.037, 0.49
274.492, 0.49
274.948, 0.49
275.404, 0.5
275.86, 0.52
276.315, 0.53
276.771, 0.55
277.226, 0.56
277.682, 0.58
278.137, 0.59
278.593, 0.61
279.048, 0.61
279.503, 0.65
279.958, 0.66
280.414, 0.68
280.869, 0.71
281.324, 0.71
281.779, 0.73
282.234, 0.75
282.689, 0.76
283.144, 0.79
283.599, 0.79
284.054, 0.8
284.508, 0.81
284.963, 0.82
285.418, 0.83
285.873, 0.85
286.327, 0.86
286.782, 0.88
287.236, 0.86
287.691, 0.88
288.145, 0.89
288.6, 0.89
289.054, 0.92
289.508, 0.91
289.963, 0.92
290.417, 0.94
290.871, 0.96
291.325, 0.96
291.779, 0.98
292.233, 0.98
292.687, 1
293.141, 1.02
293.595, 1.02
294.049, 1.05
294.503, 1.06
294.957, 1.06
295.41, 1.08
295.864, 1.09
296.318, 1.11
296.771, 1.13
297.225, 1.14
297.678, 1.16
298.132, 1.17
298.585, 1.18
299.039, 1.2
299.492, 1.18
299.945, 1.23
300.398, 1.21
300.852, 1.23
301.305, 1.23
