Absorbance:209, 
188.96, 1.05
189.424, 1.05
189.887, 1.05
190.351, -0.25
190.815, 0
191.279, -1.03
191.742, 0.51
192.206, 0
192.669, 0
193.133, -0.3
193.596, 0
194.06, 0
194.523, 0.47
194.987, 0.13
195.45, -0.33
195.913, 0
196.376, 0
196.84, -1.04
197.303, 0.45
197.766, 0
198.229, 0
198.692, 0.11
199.155, 0
199.618, 0.11
200.081, 0.11
200.543, 0.1
201.006, 0.1
201.469, 0.08
201.932, 0.11
202.394, 0.07
202.857, 0.1
203.32, 0.1
203.782, 0.08
204.245, 0.09
204.707, 0.09
205.169, 0.12
205.632, 0.15
206.094, 0.12
206.556, 0.09
207.019, 0.12
207.481, 0.12
207.943, 0.13
208.405, 0.16
208.867, 0.19
209.329, 0.13
209.791, 0.23
210.253, 0.15
210.715, 0.21
211.177, 0.18
211.639, 0.23
212.1, 0.26
212.562, 0.28
213.024, 0.3
213.485, 0.31
213.947, 0.41
214.408, 0.41
214.87, 0.44
215.331, 0.5
215.793, 0.51
216.254, 0.61
216.715, 0.6
217.177, 0.68
217.638, 0.68
218.099, 0.73
218.56, 0.76
219.021, 0.8
219.482, 0.77
219.944, 0.8
220.404, 0.81
220.865, 0.83
221.326, 0.84
221.787, 0.84
222.248, 0.83
222.709, 0.83
223.169, 0.81
223.63, 0.82
224.091, 0.82
224.551, 0.8
225.012, 0.78
225.472, 0.77
225.933, 0.75
226.393, 0.74
226.854, 0.73
227.314, 0.7
227.774, 0.69
228.234, 0.68
228.695, 0.67
229.155, 0.65
229.615, 0.64
230.075, 0.62
230.535, 0.61
230.995, 0.61
231.455, 0.59
231.915, 0.59
232.375, 0.57
232.834, 0.56
233.294, 0.55
233.754, 0.55
234.214, 0.54
234.673, 0.54
235.133, 0.53
235.592, 0.52
236.052, 0.53
236.511, 0.52
236.971, 0.52
237.43, 0.51
237.889, 0.51
238.349, 0.5
238.808, 0.5
239.267, 0.5
239.726, 0.49
240.185, 0.49
240.644, 0.49
241.103, 0.48
241.562, 0.48
242.021, 0.47
242.48, 0.46
242.939, 0.46
243.398, 0.46
243.857, 0.45
244.315, 0.45
244.774, 0.45
245.233, 0.43
245.691, 0.43
246.15, 0.42
246.608, 0.42
247.067, 0.41
247.525, 0.41
247.983, 0.4
248.442, 0.39
248.9, 0.39
249.358, 0.38
249.816, 0.38
250.274, 0.37
250.733, 0.36
251.191, 0.37
251.649, 0.36
252.107, 0.36
252.564, 0.36
253.022, 0.36
253.48, 0.35
253.938, 0.34
254.396, 0.34
254.853, 0.34
255.311, 0.34
255.769, 0.34
256.226, 0.33
256.684, 0.33
257.141, 0.34
257.599, 0.35
258.056, 0.34
258.513, 0.34
258.971, 0.35
259.428, 0.36
259.885, 0.37
260.342, 0.36
260.799, 0.36
261.256, 0.37
261.714, 0.38
262.171, 0.38
262.627, 0.38
263.084, 0.39
263.541, 0.39
263.998, 0.41
264.455, 0.41
264.912, 0.42
265.368, 0.42
265.825, 0.43
266.281, 0.44
266.738, 0.45
267.194, 0.45
267.651, 0.46
268.107, 0.46
268.564, 0.47
269.02, 0.48
269.476, 0.49
269.933, 0.5
270.389, 0.51
270.845, 0.52
271.301, 0.53
271.757, 0.52
272.213, 0.52
272.669, 0.53
273.125, 0.54
273.581, 0.54
274.037, 0.54
274.492, 0.56
274.948, 0.56
275.404, 0.56
275.86, 0.55
276.315, 0.55
276.771, 0.55
277.226, 0.57
277.682, 0.56
278.137, 0.56
278.593, 0.57
279.048, 0.56
279.503, 0.57
279.958, 0.57
280.414, 0.58
280.869, 0.58
281.324, 0.59
281.779, 0.58
282.234, 0.58
282.689, 0.59
283.144, 0.6
283.599, 0.59
284.054, 0.6
284.508, 0.59
284.963, 0.6
285.418, 0.61
285.873, 0.61
286.327, 0.61
286.782, 0.62
287.236, 0.61
287.691, 0.61
288.145, 0.61
288.6, 0.61
289.054, 0.62
289.508, 0.63
289.963, 0.62
290.417, 0.62
290.871, 0.63
291.325, 0.62
291.779, 0.63
292.233, 0.63
292.687, 0.63
293.141, 0.63
293.595, 0.63
294.049, 0.64
294.503, 0.62
294.957, 0.63
295.41, 0.63
295.864, 0.63
296.318, 0.62
296.771, 0.62
297.225, 0.62
297.678, 0.62
298.132, 0.62
298.585, 0.62
299.039, 0.61
299.492, 0.62
299.945, 0.6
300.398, 0.6
300.852, 0.6
301.305, 0.6
301.758, 0.59
302.211, 0.59
302.664, 0.58
303.117, 0.59
303.57, 0.58
304.023, 0.58
304.476, 0.57
304.928, 0.57
305.381, 0.56
305.834, 0.55
306.286, 0.56
306.739, 0.56
307.192, 0.55
307.644, 0.55
308.097, 0.54
308.549, 0.54
309.001, 0.54
309.454, 0.54
309.906, 0.54
310.358, 0.53
310.81, 0.53
311.263, 0.53
311.715, 0.52
312.167, 0.53
312.619, 0.54
313.071, 0.53
313.523, 0.54
313.975, 0.53
314.426, 0.53
314.878, 0.54
315.33, 0.54
315.782, 0.56
316.233, 0.58
316.685, 0.58
317.136, 0.6
317.588, 0.58
318.039, 0.56
318.491, 0.53
318.942, 0.5
319.393, 0.49
319.845, 0.49
320.296, 0.5
320.747, 0.5
321.198, 0.52
321.649, 0.52
322.101, 0.55
322.552, 0.56
323.003, 0.58
323.453, 0.59
323.904, 0.59
324.355, 0.61
324.806, 0.61
325.257, 0.61
325.707, 0.61
326.158, 0.62
326.609, 0.63
327.059, 0.63
327.51, 0.63
327.96, 0.64
328.411, 0.64
328.861, 0.64
329.311, 0.66
329.762, 0.65
330.212, 0.65
330.662, 0.67
331.112, 0.66
331.562, 0.67
332.012, 0.67
332.462, 0.69
332.912, 0.68
333.362, 0.69
333.812, 0.68
334.262, 0.7
334.712, 0.69
335.161, 0.7
335.611, 0.7
336.061, 0.7
336.51, 0.7
336.96, 0.7
337.409, 0.7
337.859, 0.71
338.308, 0.7
338.758, 0.71
339.207, 0.71
339.656, 0.7
340.105, 0.72
340.555, 0.7
341.004, 0.71
341.453, 0.71
341.902, 0.71
342.351, 0.71
342.8, 0.72
343.249, 0.73
343.698, 0.73
344.146, 0.73
344.595, 0.73
345.044, 0.74
345.493, 0.74
345.941, 0.75
346.39, 0.74
346.838, 0.75
347.287, 0.74
347.735, 0.76
348.184, 0.76
348.632, 0.76
349.08, 0.77
349.529, 0.77
349.977, 0.77
350.425, 0.77
350.873, 0.77
351.321, 0.77
351.769, 0.77
352.217, 0.77
352.665, 0.77
353.113, 0.77
353.561, 0.78
354.009, 0.76
354.456, 0.76
354.904, 0.77
355.352, 0.75
355.799, 0.75
356.247, 0.75
356.694, 0.73
357.142, 0.74
357.589, 0.74
358.037, 0.73
358.484, 0.74
358.931, 0.72
359.379, 0.73
359.826, 0.73
360.273, 0.72
360.72, 0.71
361.167, 0.71
361.614, 0.72
362.061, 0.72
362.508, 0.71
362.955, 0.73
363.402, 0.73
363.848, 0.72
364.295, 0.73
364.742, 0.73
365.188, 0.74
365.635, 0.74
366.082, 0.74
366.528, 0.76
366.975, 0.76
367.421, 0.76
367.867, 0.78
368.314, 0.77
368.76, 0.78
369.206, 0.78
369.652, 0.79
370.098, 0.79
370.545, 0.8
370.991, 0.81
371.437, 0.81
371.882, 0.8
372.328, 0.81
372.774, 0.8
373.22, 0.79
373.666, 0.8
374.111, 0.78
374.557, 0.8
375.003, 0.79
375.448, 0.79
375.894, 0.77
