lambda, I
188.96, -31.45
189.424, -31.45
189.887, -31.45
190.351, -61.88
190.815, -54.86
191.279, -50.18
191.742, -101.67
192.206, -36.13
192.669, -120.39
193.133, -29.11
193.596, -40.81
194.06, -52.52
194.523, 27.06
194.987, -47.83
195.45, -10.39
195.913, 29.4
196.376, 29.4
196.84, 101.96
197.303, 73.87
197.766, 106.64
198.229, 120.68
198.692, 153.45
199.155, 148.77
199.618, 139.41
200.081, 127.71
200.543, 218.99
201.006, 197.92
201.469, 228.35
201.932, 204.94
202.394, 240.05
202.857, 310.27
203.32, 247.07
203.782, 272.82
204.245, 251.75
204.707, 296.22
205.169, 298.56
205.632, 319.63
206.094, 284.52
206.556, 321.97
207.019, 343.03
207.481, 312.61
207.943, 279.84
208.405, 333.67
208.867, 310.27
209.329, 375.8
209.791, 230.69
210.253, 303.25
210.715, 319.63
211.177, 331.33
211.639, 312.61
212.1, 310.27
212.562, 235.37
213.024, 307.93
213.485, 300.91
213.947, 282.18
214.408, 303.25
214.87, 284.52
215.331, 275.16
215.793, 275.16
216.254, 293.88
216.715, 244.73
217.177, 300.91
217.638, 249.41
218.099, 254.09
218.56, 249.41
219.021, 270.48
219.482, 275.16
219.944, 230.69
220.404, 336.01
220.865, 249.41
221.326, 331.33
221.787, 268.14
222.248, 268.14
222.709, 336.01
223.169, 263.46
223.63, 286.86
224.091, 258.78
224.551, 244.73
225.012, 307.93
225.472, 326.65
225.933, 240.05
226.393, 268.14
226.854, 251.75
227.314, 270.48
227.774, 275.16
228.234, 268.14
228.695, 300.91
229.155, 289.2
229.615, 307.93
230.075, 314.95
230.535, 296.22
230.995, 237.71
231.455, 247.07
231.915, 317.29
232.375, 361.76
232.834, 282.18
233.294, 310.27
233.754, 268.14
234.214, 233.03
234.673, 314.95
235.133, 289.2
235.592, 279.84
236.052, 319.63
236.511, 270.48
236.971, 324.31
237.43, 242.39
237.889, 303.25
238.349, 223.67
238.808, 237.71
239.267, 328.99
239.726, 233.03
240.185, 347.72
240.644, 298.56
241.103, 291.54
241.562, 237.71
242.021, 317.29
242.48, 293.88
242.939, 298.56
243.398, 209.62
243.857, 211.96
244.315, 312.61
244.774, 300.91
245.233, 298.56
245.691, 314.95
246.15, 338.35
246.608, 240.05
247.067, 223.67
247.525, 218.99
247.983, 291.54
248.442, 279.84
248.9, 366.44
249.358, 289.2
249.816, 268.14
250.274, 251.75
250.733, 312.61
251.191, 331.33
251.649, 298.56
252.107, 314.95
252.564, 270.48
253.022, 338.35
253.48, 319.63
253.938, 303.25
254.396, 272.82
254.853, 317.29
255.311, 289.2
255.769, 350.06
256.226, 371.12
256.684, 326.65
257.141, 345.38
257.599, 214.31
258.056, 263.46
258.513, 324.31
258.971, 233.03
259.428, 321.97
259.885, 270.48
260.342, 359.42
260.799, 319.63
261.256, 265.8
261.714, 314.95
262.171, 340.69
262.627, 272.82
263.084, 293.88
263.541, 244.73
263.998, 263.46
264.455, 258.78
264.912, 331.33
265.368, 272.82
265.825, 354.74
266.281, 270.48
266.738, 277.5
267.194, 272.82
267.651, 354.74
268.107, 331.33
268.564, 242.39
269.02, 286.86
269.476, 326.65
269.933, 298.56
270.389, 291.54
270.845, 251.75
271.301, 282.18
271.757, 284.52
272.213, 307.93
272.669, 279.84
273.125, 228.35
273.581, 307.93
274.037, 343.03
274.492, 284.52
274.948, 307.93
275.404, 333.67
275.86, 289.2
276.315, 272.82
276.771, 357.08
277.226, 275.16
277.682, 258.78
278.137, 256.43
278.593, 303.25
279.048, 298.56
279.503, 357.08
279.958, 258.78
280.414, 319.63
280.869, 268.14
281.324, 331.33
281.779, 298.56
282.234, 371.12
282.689, 228.35
283.144, 305.59
283.599, 286.86
284.054, 336.01
284.508, 352.4
284.963, 389.85
285.418, 324.31
285.873, 319.63
