lambda, Intensity
188.96, -28.38
189.424, -28.38
189.887, -28.38
190.351, -77.53
190.815, -89.23
191.279, -77.53
191.742, -70.51
192.206, -63.49
192.669, -96.25
193.133, -70.51
193.596, -72.85
194.06, 41.84
194.523, -9.65
194.987, -30.72
195.45, -23.7
195.913, 65.24
196.376, 23.11
196.84, 16.09
197.303, 119.07
197.766, 102.69
198.229, 147.16
198.692, 98.01
199.155, 128.44
199.618, 203.33
200.081, 296.96
200.543, 245.46
201.006, 257.17
201.469, 367.17
201.932, 325.04
202.394, 348.45
202.857, 303.98
203.32, 350.79
203.782, 275.89
204.245, 381.21
204.707, 327.38
205.169, 374.19
205.632, 313.34
206.094, 332.06
206.556, 371.85
207.019, 381.21
207.481, 292.27
207.943, 318.02
208.405, 406.96
208.867, 353.13
209.329, 367.17
209.791, 388.24
210.253, 371.85
210.715, 402.28
211.177, 278.23
211.639, 336.74
212.1, 355.47
212.562, 376.53
213.024, 376.53
213.485, 343.77
213.947, 423.34
214.408, 325.04
214.87, 364.83
215.331, 383.56
215.793, 315.68
216.254, 280.57
216.715, 413.98
217.177, 362.49
217.638, 348.45
218.099, 320.36
218.56, 399.94
219.021, 355.47
219.482, 362.49
219.944, 294.61
220.404, 294.61
220.865, 306.32
221.326, 334.4
221.787, 339.09
222.248, 369.51
222.709, 299.3
223.169, 278.23
223.63, 413.98
224.091, 332.06
224.551, 327.38
225.012, 357.81
225.472, 362.49
225.933, 303.98
226.393, 350.79
226.854, 268.87
227.314, 303.98
227.774, 296.96
228.234, 313.34
228.695, 444.41
229.155, 362.49
229.615, 336.74
230.075, 259.51
230.535, 392.92
230.995, 322.7
231.455, 399.94
231.915, 311
232.375, 390.58
232.834, 339.09
233.294, 336.74
233.754, 367.17
234.214, 327.38
234.673, 376.53
235.133, 360.15
235.592, 418.66
236.052, 318.02
236.511, 357.81
236.971, 350.79
237.43, 425.68
237.889, 381.21
238.349, 296.96
238.808, 341.43
239.267, 322.7
239.726, 383.56
240.185, 343.77
240.644, 329.72
241.103, 327.38
241.562, 388.24
242.021, 353.13
242.48, 287.59
242.939, 308.66
243.398, 409.3
243.857, 308.66
244.315, 362.49
244.774, 325.04
245.233, 357.81
245.691, 329.72
246.15, 399.94
246.608, 376.53
247.067, 362.49
247.525, 336.74
247.983, 308.66
248.442, 315.68
248.9, 388.24
249.358, 315.68
