lambda, intensity
188.96, -16.24
189.424, -16.24
189.887, -16.24
190.351, -63.05
190.815, -34.96
191.279, -56.03
191.742, -70.07
192.206, -37.3
192.669, -79.43
193.133, -51.35
193.596, 21.21
194.06, -27.94
194.523, -53.69
194.987, 9.51
195.45, 18.87
195.913, 42.28
196.376, 91.43
196.84, 18.87
197.303, 49.3
197.766, 53.98
198.229, 70.36
198.692, 110.15
199.155, 110.15
199.618, 234.2
200.081, 447.19
200.543, 426.12
201.006, 442.51
201.469, 456.55
201.932, 498.68
202.394, 484.64
202.857, 515.06
203.32, 388.68
203.782, 503.36
204.245, 412.08
204.707, 508.04
205.169, 494
205.632, 501.02
206.094, 479.96
206.556, 479.96
207.019, 482.3
207.481, 582.94
207.943, 538.47
208.405, 486.98
208.867, 505.7
209.329, 538.47
209.791, 524.43
210.253, 435.49
210.715, 522.09
211.177, 522.09
211.639, 435.49
212.1, 508.04
212.562, 515.06
213.024, 470.59
213.485, 461.23
213.947, 538.47
214.408, 538.47
214.87, 517.4
215.331, 435.49
215.793, 458.89
216.254, 472.93
216.715, 505.7
217.177, 529.11
217.638, 472.93
218.099, 423.78
218.56, 430.8
219.021, 484.64
219.482, 501.02
219.944, 510.38
220.404, 421.44
220.865, 465.91
221.326, 489.32
221.787, 454.21
222.248, 412.08
222.709, 442.51
223.169, 536.13
223.63, 510.38
224.091, 486.98
224.551, 470.59
225.012, 482.3
225.472, 510.38
225.933, 486.98
226.393, 461.23
226.854, 440.17
227.314, 440.17
227.774, 444.85
228.234, 428.46
228.695, 477.62
229.155, 465.91
229.615, 470.59
230.075, 458.89
230.535, 376.97
230.995, 475.28
231.455, 414.42
231.915, 468.25
232.375, 376.97
232.834, 501.02
233.294, 461.23
233.754, 468.25
234.214, 484.64
234.673, 510.38
235.133, 472.93
235.592, 477.62
236.052, 409.74
236.511, 489.32
236.971, 430.8
237.43, 472.93
237.889, 451.87
238.349, 442.51
238.808, 482.3
239.267, 465.91
239.726, 430.8
240.185, 454.21
240.644, 477.62
241.103, 515.06
241.562, 465.91
242.021, 475.28
242.48, 383.99
242.939, 433.15
243.398, 456.55
243.857, 540.81
244.315, 484.64
244.774, 451.87
245.233, 458.89
245.691, 451.87
246.15, 447.19
246.608, 489.32
247.067, 454.21
247.525, 465.91
247.983, 501.02
248.442, 484.64
248.9, 491.66
249.358, 421.44
249.816, 437.83
250.274, 491.66
250.733, 489.32
251.191, 472.93
251.649, 475.28
252.107, 461.23
252.564, 501.02
253.022, 468.25
253.48, 463.57
253.938, 442.51
254.396, 552.51
254.853, 524.43
255.311, 526.77
255.769, 449.53
256.226, 458.89
256.684, 503.36
257.141, 517.4
257.599, 501.02
258.056, 386.33
258.513, 494
258.971, 531.45
259.428, 477.62
259.885, 529.11
260.342, 491.66
260.799, 522.09
261.256, 531.45
261.714, 475.28
262.171, 482.3
262.627, 454.21
263.084, 489.32
263.541, 479.96
263.998, 517.4
264.455, 444.85
264.912, 486.98
265.368, 472.93
265.825, 519.75
266.281, 538.47
266.738, 486.98
267.194, 465.91
267.651, 486.98
268.107, 515.06
268.564, 449.53
269.02, 475.28
269.476, 456.55
269.933, 456.55
270.389, 484.64
270.845, 367.61
271.301, 465.91
271.757, 456.55
272.213, 428.46
272.669, 484.64
273.125, 468.25
273.581, 451.87
274.037, 451.87
274.492, 489.32
274.948, 447.19
275.404, 414.42
275.86, 416.76
276.315, 543.15
276.771, 524.43
277.226, 456.55
277.682, 458.89
278.137, 454.21
278.593, 517.4
279.048, 461.23
279.503, 461.23
279.958, 442.51
280.414, 482.3
280.869, 430.8
281.324, 435.49
281.779, 491.66
282.234, 505.7
282.689, 529.11
283.144, 433.15
283.599, 412.08
284.054, 440.17
284.508, 484.64
284.963, 468.25
285.418, 482.3
285.873, 479.96
286.327, 423.78
286.782, 437.83
287.236, 447.19
287.691, 501.02
288.145, 477.62
288.6, 496.34
289.054, 456.55
289.508, 489.32
289.963, 472.93
290.417, 461.23
290.871, 447.19
291.325, 489.32
291.779, 529.11
292.233, 407.4
292.687, 426.12
293.141, 498.68
293.595, 510.38
294.049, 496.34
294.503, 524.43
294.957, 454.21
295.41, 468.25
295.864, 458.89
296.318, 494
296.771, 512.72
297.225, 440.17
297.678, 517.4
298.132, 498.68
298.585, 405.06
299.039, 475.28
299.492, 522.09
299.945, 393.36
300.398, 524.43
300.852, 449.53
301.305, 470.59
301.758, 498.68
302.211, 503.36
302.664, 489.32
303.117, 470.59
303.57, 463.57
304.023, 515.06
304.476, 484.64
304.928, 435.49
305.381, 482.3
305.834, 557.19
306.286, 456.55
306.739, 442.51
307.192, 435.49
307.644, 505.7
308.097, 449.53
308.549, 437.83
309.001, 430.8
309.454, 458.89
309.906, 540.81
310.358, 526.77
310.81, 508.04
311.263, 428.46
311.715, 475.28
312.167, 479.96
312.619, 463.57
313.071, 463.57
313.523, 475.28
313.975, 409.74
314.426, 458.89
314.878, 454.21
315.33, 374.63
315.782, 437.83
316.233, 531.45
316.685, 479.96
317.136, 491.66
317.588, 451.87
318.039, 484.64
318.491, 522.09
318.942, 510.38
319.393, 463.57
319.845, 444.85
320.296, 419.1
320.747, 456.55
321.198, 529.11
321.649, 505.7
322.101, 416.76
322.552, 494
323.003, 494
323.453, 515.06
323.904, 550.17
324.355, 496.34
324.806, 512.72
325.257, 489.32
325.707, 489.32
326.158, 475.28
326.609, 503.36
327.059, 494
327.51, 468.25
327.96, 524.43
328.411, 531.45
328.861, 470.59
329.311, 540.81
329.762, 447.19
330.212, 409.74
330.662, 494
331.112, 575.92
331.562, 489.32
332.012, 522.09
332.462, 522.09
332.912, 517.4
333.362, 505.7
333.812, 547.83
334.262, 526.77
334.712, 526.77
335.161, 524.43
335.611, 559.53
336.061, 510.38
336.51, 589.96
336.96, 486.98
337.409, 601.66
337.859, 592.3
338.308, 566.56
338.758, 625.07
