FLMS05507_1:101, 
188.96, -73.58
189.424, -73.58
189.887, -73.58
190.351, -108.69
190.815, -71.24
191.279, -19.75
191.742, -108.69
192.206, -132.09
192.669, -61.88
193.133, -57.2
193.596, 10.68
194.06, -33.79
194.523, -3.36
194.987, 27.06
195.45, -50.18
195.913, 64.51
196.376, 8.34
196.84, 62.17
197.303, 108.98
197.766, 66.85
198.229, 118.34
198.692, 132.39
199.155, 151.11
199.618, 226.01
200.081, 368.78
200.543, 319.63
201.006, 293.88
201.469, 392.19
201.932, 350.06
202.394, 420.27
202.857, 326.65
203.32, 448.36
203.782, 389.85
204.245, 378.14
204.707, 460.06
205.169, 417.93
205.632, 474.1
206.094, 450.7
206.556, 396.87
207.019, 527.94
207.481, 469.42
207.943, 492.83
208.405, 509.21
208.867, 485.81
209.329, 453.04
209.791, 532.62
210.253, 460.06
210.715, 481.13
211.177, 478.79
211.639, 467.08
212.1, 460.06
212.562, 485.81
213.024, 499.85
213.485, 420.27
213.947, 506.87
214.408, 485.81
214.87, 371.12
215.331, 453.04
215.793, 446.02
216.254, 424.95
216.715, 464.74
217.177, 352.4
217.638, 471.76
218.099, 399.21
218.56, 471.76
219.021, 436.66
219.482, 427.29
219.944, 429.63
220.404, 399.21
220.865, 434.32
221.326, 389.85
221.787, 399.21
222.248, 422.61
222.709, 427.29
223.169, 401.55
223.63, 436.66
224.091, 455.38
224.551, 373.46
225.012, 441.34
225.472, 375.8
225.933, 478.79
226.393, 446.02
226.854, 389.85
227.314, 406.23
227.774, 434.32
228.234, 340.69
228.695, 446.02
229.155, 389.85
229.615, 434.32
230.075, 382.82
230.535, 462.4
230.995, 399.21
231.455, 413.25
231.915, 471.76
232.375, 469.42
232.834, 415.59
233.294, 488.15
233.754, 439
234.214, 424.95
234.673, 443.68
235.133, 429.63
235.592, 448.36
236.052, 455.38
236.511, 420.27
236.971, 410.91
237.43, 450.7
237.889, 464.74
238.349, 455.38
238.808, 446.02
239.267, 361.76
239.726, 527.94
240.185, 469.42
240.644, 408.57
241.103, 389.85
241.562, 427.29
242.021, 350.06
242.48, 401.55
242.939, 403.89
243.398, 488.15
243.857, 474.1
244.315, 368.78
244.774, 460.06
245.233, 406.23
245.691, 354.74
246.15, 474.1
246.608, 415.59
247.067, 434.32
247.525, 457.72
247.983, 413.25
248.442, 441.34
248.9, 401.55
249.358, 415.59
249.816, 417.93
250.274, 345.38
250.733, 490.49
251.191, 492.83
251.649, 382.82
252.107, 389.85
252.564, 403.89
253.022, 439
253.48, 413.25
253.938, 422.61
254.396, 469.42
254.853, 434.32
255.311, 436.66
255.769, 457.72
256.226, 457.72
256.684, 490.49
257.141, 439
257.599, 497.51
258.056, 488.15
258.513, 478.79
258.971, 378.14
259.428, 385.16
259.885, 410.91
260.342, 443.68
260.799, 406.23
261.256, 453.04
261.714, 424.95
262.171, 464.74
262.627, 476.45
263.084, 443.68
263.541, 410.91
263.998, 490.49
264.455, 427.29
264.912, 328.99
265.368, 439
265.825, 427.29
266.281, 420.27
266.738, 352.4
267.194, 481.13
267.651, 389.85
268.107, 375.8
268.564, 389.85
269.02, 375.8
269.476, 378.14
269.933, 492.83
270.389, 481.13
270.845, 469.42
271.301, 410.91
271.757, 481.13
272.213, 352.4
272.669, 467.08
273.125, 481.13
273.581, 403.89
274.037, 401.55
274.492, 343.03
274.948, 455.38
275.404, 401.55
275.86, 406.23
276.315, 455.38
276.771, 478.79
277.226, 399.21
277.682, 478.79
278.137, 448.36
278.593, 483.47
279.048, 448.36
279.503, 450.7
279.958, 518.57
280.414, 469.42
280.869, 553.68
281.324, 497.51
281.779, 537.3
282.234, 495.17
282.689, 415.59
283.144, 396.87
283.599, 513.89
284.054, 481.13
284.508, 455.38
284.963, 495.17
285.418, 434.32
285.873, 417.93
286.327, 471.76
286.782, 474.1
287.236, 380.48
287.691, 429.63
288.145, 417.93
288.6, 509.21
289.054, 549
289.508, 474.1
289.963, 511.55
290.417, 436.66
290.871, 471.76
291.325, 469.42
291.779, 450.7
292.233, 483.47
292.687, 413.25
293.141, 481.13
293.595, 424.95
294.049, 378.14
294.503, 464.74
294.957, 462.4
295.41, 443.68
295.864, 453.04
296.318, 523.26
296.771, 492.83
297.225, 481.13
297.678, 476.45
298.132, 415.59
298.585, 474.1
299.039, 534.96
299.492, 509.21
299.945, 511.55
300.398, 481.13
300.852, 446.02
301.305, 495.17
301.758, 392.19
302.211, 558.36
302.664, 537.3
303.117, 572.41
303.57, 605.17
